securityname,first_in_portfolio,issuer_type,weight,price: 20221231,price: 20220930,price: 20220630,price: 20220331,price: 20211231,held_directly_or_through,held_by_that_many_active_funds,held_by_that_many_passive_funds,held_by_that_many_brands,issuer,issueAmount,total_usd_issuer_debt_amount,mean_issuer_issue_size,issuer_issue_count,marketvalue,holdingpercOfDeal,issue_date,RegistrationType,holdingType,debtType,debtRankType,primarySector,mortgageType,cmoClassType,cmoType,collateralType,crt,original_coupon_rate,effectiveduration,effectivematurity,maturitydate,modifiedduration,numberofshares,ratinganalytics_ratinglevel,yieldtomaturity,last_reported_factor,last_reported_factor_as_of_date,cmooriginaldealamount,state,country_of_risk,currency,em_dev,NAICSClassification,industry,muniSecurityType,muniUseOfProceeds,GreenBondIndicator,green_bond_third_party,convertible_indicator,conditional_conversion_indicator,conversion_feature_type,convertible_initiator,conversion_option_type,conversion_timing_type,convert_frequency_type,cusip,isin,apexid,bucket
Cheever Escrow Issuer LLC 7.125%,20220930,Limited Partnership,0.00,95.88,89.63,,,,High Yield Bond Portfolio,285,10,73,Cheever Escrow Issuer LLC,,,,," $20,972.78 ",,2022-08-30,Exempt Issue,Bond - Corporate Bond,,,Industrials,,,,,NA,,3.60,4.75,2027-10-01,3.94," 21,874 ",B,8.3482,,,,DE,US,USD,DEV,All Other Business Support Services,Administrative and Support Services,,,,,NA,NA,,,,,,16308NAA2,US16308NAA28,471776088,bucket_51_max
Gates Global Llc/Gates Global Co. 6.25%,20191231,Limited Partnership,0.06,96.66,92.12,92.89,100.27,103.36,High Yield Bond Portfolio,204,33,73,Gates Global Llc/Gates Global Co.,,,,," $552,051.81 ",,2019-11-22,Exempt Issue,Bond - Corporate Bond,,,Industrials,,,,,NA,,2.28,3.04,2026-01-15,2.71," 571,157 ",B,7.5579,,,,DE,US,USD,DEV,All Other Miscellaneous General Purpose Machinery Manufacturing,Machinery Manufacturing,,,,,NA,NA,,,,,,36740LAA0,US36740LAA08,275677576,bucket_51_max
Trident TPI Holdings Inc 9.25%,20190930,Corporation,0.01,95.74,92.27,91.63,100.62,104.62,High Yield Bond Portfolio,224,13,73,Trident TPI Holdings Inc,,,,," $74,458.37 ",,2019-07-24,Exempt Issue,Bond - Corporate Bond,,,Basic Materials,,,,,NA,,1.36,1.59,2024-08-01,1.42," 77,775 ",Below B,12.7899,,,,DE,US,USD,DEV,All Other Converted Paper Product Manufacturing,Paper Manufacturing,,,,,NA,NA,,,,,,89616RAB5,US89616RAB50,251394087,bucket_51_max
Ryan Specialty Group LLC 4.375%,20220630,Limited Partnership,0.01,86.71,84.94,87.12,94.62,,High Yield Bond Portfolio,323,12,74,Ryan Specialty Group LLC,,,,," $82,194.82 ",,2022-02-03,Exempt Issue,Bond - Corporate Bond,,,Financial Services,,,,,NA,,5.50,7.09,2030-02-01,5.89," 94,788 ",BB,6.7895,,,,DE,US,USD,DEV,Insurance Agencies and Brokerages,Insurance Carriers and Related Activities,,,,,NA,NA,,,,,,78351MAA0,US78351MAA09,431943237,bucket_51_max
Western Midstream Operating  LP 4.5%,20200630,Limited Partnership,0.01,92.29,90.64,90.66,102.19,109.05,High Yield Bond Portfolio,215,22,74,Western Midstream Operating  LP,," $500,000,000 "," $500,000,000 ", $1 ," $118,887.72 ",,2018-03-02,SEC Registered,Bond - Corporate Bond,,,Utilities,,,,,NA,,4.40,5.17,2028-03-01,4.50," 128,814 ",BB,6.3977,,,,DE,US,USD,DEV,Natural Gas Distribution,Utilities,,,,,NA,NA,,,,,,958254AH7,US958254AH78,164842278,bucket_51_max
Urban One Inc 7.375%,20210331,Corporation,0.02,84.66,85.12,85.76,100.53,103.15,High Yield Bond Portfolio,286,21,74,Urban One Inc,,,,," $205,752.63 ",,2021-01-25,Exempt Issue,Bond - Corporate Bond,,,Consumer Cyclical,,,,,NA,,3.88,5.09,2028-02-01,4.02," 243,046 ",B,11.4694,,,,DE,US,USD,DEV,Radio Networks,Broadcasting (except Internet),,,,,NA,NA,,,,,,91705JAC9,US91705JAC99,358506721,bucket_51_max
Southern Co. 3.25%,20180630,Corporation,0.32,94.16,92.76,95.88,100.15,106.03,held_directly,296,103,74,Southern Co.," $1,750,000,000 "," $13,945,432,542 "," $996,102,324 ", $14 ," $2,998,950.32 ",0.18,2016-05-24,SEC Registered,Bond - Corporate Bond,Note,Senior,Utilities,,,,,NA,3.25,3.16,3.50,2026-07-01,3.25," 3,185,041 ",BBB,5.1339,,,,DE,US,USD,DEV,Other Electric Power Generation,Utilities,,,,,No,NA,,,,,,842587CV7,US842587CV72,96537013,bucket_51_max
Capital One Financial Corporation 4.2%,20180630,Corporation,0.12,96.74,96.26,98.83,102.4,108.8,held_directly,247,109,74,Capital One Financial Corporation,," $2,250,000,000 "," $1,125,000,000 ", $2 ," $1,160,850.43 ",,2015-10-29,SEC Registered,Bond - Corporate Bond,,,Financial Services,,,,,NA,,2.58,2.83,2025-10-29,2.62," 1,199,980 ",BBB,5.498,,,,DE,US,USD,DEV,Commercial Banking,Credit Intermediation and Related Activities,,,,,NA,NA,,,,,,14040HBJ3,US14040HBJ32,79871687,bucket_51_max
"Amerigas Partners, L.P./Amerigas Finance Corp. 5.5%",20180630,Limited Partnership,0.02,96.24,93,94.29,100.19,107.48,High Yield Bond Portfolio,164,37,74,"Amerigas Partners, L.P./Amerigas Finance Corp."," $700,000,000 "," $2,575,000,000 "," $643,750,000 ", $4 ," $201,154.74 ",0.03,2016-12-28,SEC Registered,Bond - Corporate Bond,Note,Senior,Consumer Cyclical,,,,,NA,5.5,2.14,2.39,2025-05-20,2.19," 209,019 ",BB,7.3131,,,,DE,US,USD,DEV,Fuel Dealers,Nonstore Retailer,,,,,No,NA,,,,,,030981AK0,US030981AK06,114667553,bucket_51_max
Telenet Finance Luxembourg Notes S.A.R.L 5.5%,20190630,Corporation,0.05,91,87.61,88.36,97.5,103.5,High Yield Bond Portfolio,180,18,75,Telenet Finance Luxembourg Notes S.A.R.L,,,,," $442,342.88 ",,2017-12-13,Exempt Issue,Bond - Corporate Bond,,,Industrials,,,,,NA,,4.08,5.17,2028-03-01,4.36," 486,091 ",BB,7.894,,,,,LU,USD,DEV,All Other Business Support Services,Administrative and Support Services,,,,,NA,NA,,,,,,,BE6300372289,148844980,bucket_51_max
Aercap Ireland Capital DAC 4.875%,20190331,Limited Partnership,0.06,99.09,98.45,99.54,101.39,106.45,held_directly,376,80,75,Aercap Ireland Capital DAC,," $1,350,000,000 "," $675,000,000 ", $2 ," $594,568.08 ",,2019-01-16,SEC Registered,Bond - Corporate Bond,,,Financial Services,,,,,NA,,0.96,1.05,2024-01-16,1.00," 600,047 ",BBB,5.8269,,,,,IE,USD,DEV,Mortgage and Nonmortgage Loan Brokers,Credit Intermediation and Related Activities,,,,,NA,NA,,,,,,00774MAK1,US00774MAK18,220157739,bucket_51_max
Diamond Sports Group LLC / Diamond Sports Finance Co 6.625%,20190930,Corporation,0.00,1.12,7.38,12.5,20.84,28.25,High Yield Bond Portfolio,271,34,75,Diamond Sports Group LLC / Diamond Sports Finance Co,,,,," $2,351.47 ",,2019-08-02,Exempt Issue,Bond - Corporate Bond,,,Consumer Cyclical,,,,,NA,,0.08,,2027-08-15,," 209,023 ",Below B,,,,,DE,US,USD,DEV,Sporting Goods Stores,"Sporting Goods, Hobby, Musical Instrument, and Book Store",,,,,NA,NA,,,,,,25277LAC0,US25277LAC00,250198273,bucket_51_max
Comcast Corporation 3.999%,20180630,Corporation,0.14,79.4,76.83,87.43,101.3,115.64,held_directly,301,109,76,Comcast Corporation,," $9,674,934,000 "," $1,209,366,750 ", $8 ," $1,371,337.93 ",,2017-12-14,SEC Registered,Bond - Corporate Bond,,,Communication Services,,,,,NA,,14.91,26.84,2049-11-01,14.91," 1,727,057 ",A,5.5133,,,,PA,US,USD,DEV,Cable and Other Subscription Programming,Broadcasting (except Internet),,,,,NA,NA,,,,,,20030NCE9,US20030NCE94,143008134,bucket_51_max
Equitrans Midstream Corporation 6.5%,20201231,Corporation,0.02,75.14,76.48,76.44,96.69,120.52,High Yield Bond Portfolio,186,25,76,Equitrans Midstream Corporation," $550,000,000 "," $6,200,000,000 "," $775,000,000 ", $8 ," $177,139.80 ",0.04,2018-06-25,SEC Registered,Bond - Corporate Bond,Note,Senior,Energy,,,,,NA,6.5,10.17,25.54,2048-07-15,10.49," 235,754 ",BB,9.0243,,,,PA,US,USD,DEV,Pipeline Transportation of Natural Gas,Pipeline Transportation,,,,,No,NA,,,,,,26885BAE0,US26885BAE02,182914538,bucket_51_max
Match Group Holdings II LLC 4.125%,20200331,Corporation,0.01,81.81,82.26,83.69,93.91,101.14,High Yield Bond Portfolio,361,29,76,Match Group Holdings II LLC,," $400,000,000 "," $400,000,000 ", $1 ," $141,180.62 ",,2020-02-11,Exempt Issue,Bond - Corporate Bond,,,Technology,,,,,NA,,6.06,7.59,2030-08-01,6.23," 172,562 ",BB,7.3218,,,,DE,US,USD,DEV,Custom Computer Programming Services,"Professional, Scientific, and Technical Services",,,,,NA,NA,,,,,,57665RAL0,US57665RAL06,291223709,bucket_51_max
PENN Entertainment Inc 4.125%,20210930,Corporation,0.02,79.13,76.68,76.02,89.63,97.15,High Yield Bond Portfolio,310,14,76,PENN Entertainment Inc," $400,000,000 "," $400,000,000 "," $400,000,000 ", $1 ," $234,633.84 ",0.07,2021-07-01,Exempt Issue,Bond - Corporate Bond,Note,Senior,Consumer Cyclical,,,,,NA,4.125,5.28,6.50,2029-07-01,5.43," 296,516 ",B,8.3792,,,,PA,US,USD,DEV,Hotels (except Casino Hotels) and Motels,Accommodation,,,,,No,NA,,,,,,707569AV1,US707569AV14,389148418,bucket_51_max
"Sinclair Television Group, Inc. 5.5%",20201231,Corporation,0.03,70.09,72.09,73.76,86.74,96.89,High Yield Bond Portfolio,325,29,76,"Sinclair Television Group, Inc.",," $3,250,000,000 "," $464,285,714 ", $7 ," $274,250.80 ",,2019-11-27,Exempt Issue,Bond - Corporate Bond,,,Consumer Cyclical,,,,,NA,,5.41,7.17,2030-03-01,5.42," 391,303 ",B,11.8404,,,,MD,US,USD,DEV,Television Broadcasting,Broadcasting (except Internet),,,,,NA,NA,,,,,,829259AY6,US829259AY67,275435680,bucket_51_max
Broadstreet Partners Inc 5.875%,20210630,Corporation,0.06,85.24,78.96,78.4,93.46,97.89,High Yield Bond Portfolio,335,19,76,Broadstreet Partners Inc," $400,000,000 "," $800,000,000 "," $400,000,000 ", $2 ," $598,714.03 ",0.18,2021-04-21,Exempt Issue,Bond - Corporate Bond,Note,Senior,Financial Services,,,,,NA,5.875,4.90,6.29,2029-04-15,5.03," 702,402 ",Below B,9.0255,,,,OH,US,USD,DEV,Insurance Agencies and Brokerages,Insurance Carriers and Related Activities,,,,,No,NA,,,,,,11135RAA3,US11135RAA32,374749418,bucket_51_max
Apple Inc. 2.8%,20220630,Corporation,0.46,63.78,62.58,71.94,86.3,98.94,held_directly,352,127,77,Apple Inc.," $1,750,000,000 "," $9,377,000,000 "," $1,875,400,000 ", $5 ," $4,384,573.02 ",0.39,2021-02-08,SEC Registered,Bond - Corporate Bond,Note,Senior,Technology,,,,,NA,2.8,19.19,38.11,2061-02-08,19.21," 6,874,973 ",AA,4.953,,,,CA,US,USD,DEV,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Computer and Electronic Product Manufacturing,,,,,No,NA,,,,,,037833EG1,US037833EG11,363146728,bucket_51_max
Broadcom Inc 3.75%,20210331,Corporation,0.08,69.47,65.79,74.25,89.87,104.59,held_directly,416,133,77,Broadcom Inc,," $45,194,379,000 "," $2,259,718,950 ", $20 ," $729,374.69 ",,2021-01-19,Exempt Issue,Bond - Corporate Bond,,,Technology,,,,,NA,,14.76,28.13,2051-02-15,14.86," 1,049,942 ",BBB,6.055,,,,DE,US,USD,DEV,Semiconductor and Related Device Manufacturing,Computer and Electronic Product Manufacturing,,,,,NA,NA,,,,,,11135FBG5,US11135FBG54,358061471,bucket_51_max
Roblox Corporation 3.875%,20211231,Corporation,0.02,78.95,81.58,81.36,93.66,101.6,High Yield Bond Portfolio,397,37,77,Roblox Corporation," $1,000,000,000 "," $2,000,000,000 "," $1,000,000,000 ", $2 ," $153,507.56 ",0.02,2021-10-29,Exempt Issue,Bond - Corporate Bond,Note,Senior,Industrials,,,,,NA,3.875,6.03,7.33,2030-05-01,6.08," 194,436 ",BB,7.7072,,,,DE,US,USD,DEV,All Other Business Support Services,Administrative and Support Services,,,,,No,NA,,,,,,771049AA1,US771049AA15,415441306,bucket_51_max
United Wholesale Mortgage LLC 5.75%,20211231,Limited Partnership,0.01,86.23,79.44,80.33,93,100.32,High Yield Bond Portfolio,279,33,77,United Wholesale Mortgage LLC," $500,000,000 "," $1,500,000,000 "," $500,000,000 ", $3 ," $106,886.27 ",0.02,2021-11-22,Exempt Issue,Bond - Corporate Bond,Note,Senior,Financial Services,,,,,NA,5.75,3.75,4.46,2027-06-15,3.77," 123,953 ",BB,9.6626,,,,DE,US,USD,DEV,Other Activities Related to Credit Intermediation,Credit Intermediation and Related Activities,,,,,No,NA,,,,,,913229AC4,US913229AC47,419090559,bucket_51_max
Abbott Laboratories 3.75%,20180630,Corporation,0.25,97.5,97.11,100.72,103.89,110.6,held_directly,260,116,77,Abbott Laboratories,," $818,429,000 "," $818,429,000 ", $1 ," $2,388,678.45 ",,2016-11-22,SEC Registered,Bond - Corporate Bond,,,Industrials,,,,,NA,,3.51,3.92,2026-11-30,3.60," 2,449,960 ",A,4.4938,,,,IL,US,USD,DEV,Offices of Other Holding Companies,Management of Companies and Enterprises,,,,,NA,NA,,,,,,002824BF6,US002824BF69,112671119,bucket_51_max
"TransDigm, Inc. 7.5%",20190930,Corporation,0.03,99.1,95.32,94.46,103.18,105.25,High Yield Bond Portfolio,301,35,77,"TransDigm, Inc.",," $11,950,000,000 "," $1,195,000,000 ", $10 ," $250,489.23 ",,2019-09-16,SEC Registered,Bond - Corporate Bond,,,Industrials,,,,,NA,,1.97,4.21,2027-03-15,3.55," 252,767 ",B,7.7951,,,,DE,US,USD,DEV,Other Aircraft Parts and Auxiliary Equipment Manufacturing,Transportation Equipment Manufacturing,,,,,NA,NA,,,,,,893647BH9,US893647BH98,256778639,bucket_51_max
Vici Properties Inc 4.5%,20220930,REIT,0.01,94.25,91.44,92.18,,,High Yield Bond Portfolio,295,11,77,Vici Properties Inc,,,,," $59,556.25 ",,2022-04-28,Exempt Issue,Bond - Corporate Bond,,,Real Estate,,,,,NA,,3.22,3.67,2026-09-01,3.31," 63,192 ",BBB,6.3219,,,,MD,US,USD,DEV,Lessors of Residential Buildings and Dwellings,Real Estate,,,,,NA,NA,,,,,,92564RAH8,US92564RAH84,448194602,bucket_51_max
Precision Drilling Corporation 7.125%,20180630,Corporation,0.03,96.91,93.94,94.13,102.12,102,High Yield Bond Portfolio,259,14,77,Precision Drilling Corporation,," $3,400,000,000 "," $377,777,778 ", $9 ," $242,596.49 ",,2017-11-22,Exempt Issue,Bond - Corporate Bond,,,Energy,,,,,NA,,2.20,3.04,2026-01-15,2.67," 250,337 ",B,8.3549,,,,AB,CA,USD,DEV,Drilling Oil and Gas Wells,Support Activities for Mining,,,,,NA,NA,,,,,,740212AL9,US740212AL91,146409923,bucket_51_max
Canadian Pacific Railway Company 3%,20211231,Corporation,0.10,75.81,71.08,78.4,90.17,101.83,held_directly,357,98,78,Canadian Pacific Railway Company,,,,," $940,051.40 ",,2021-12-02,SEC Registered,Bond - Corporate Bond,,,Industrials,,,,,NA,,13.52,18.92,2041-12-02,13.44," 1,239,941 ",BBB,5.0314,,,,AB,CA,USD,DEV,Line-Haul Railroads,Rail Transportation,,,,,NA,NA,,,,,,13645RBG8,US13645RBG83,419576370,bucket_51_max
"Alexandria Real Estate Equities, Inc. 1.875%",20200930,REIT,0.22,74.63,70.41,75.31,84.73,94.01,held_directly,323,109,78,"Alexandria Real Estate Equities, Inc.",," $951,000,000 "," $317,000,000 ", $3 ," $2,037,424.47 ",,2020-08-05,SEC Registered,Bond - Corporate Bond,,,Real Estate,,,,,NA,,8.71,10.09,2033-02-01,8.83," 2,730,052 ",BBB,5.1696,,,,MD,US,USD,DEV,Offices of Real Estate Agents and Brokers,Real Estate,,,,,NA,NA,,,,,,015271AV1,US015271AV11,326378463,bucket_51_max
UnitedHealth Group Inc. 2.3%,20220331,Corporation,0.38,83.59,80.64,86.71,94.05,101.89,held_directly,341,115,78,UnitedHealth Group Inc.,,,,," $3,552,745.31 ",,2021-05-19,SEC Registered,Bond - Corporate Bond,,,Financial Services,,,,,NA,,7.34,8.37,2031-05-15,7.41," 4,250,020 ",A,4.7329,,,,MN,US,USD,DEV,Direct Health and Medical Insurance Carriers,Insurance Carriers and Related Activities,,,,,NA,NA,,,,,,91324PED0,US91324PED06,381033931,bucket_51_max
Comcast Corporation 4.25%,20191231,Corporation,0.25,95.93,92.79,98.7,106.83,115.3,held_directly,305,103,78,Comcast Corporation,," $9,674,934,000 "," $1,209,366,750 ", $8 ," $2,398,138.56 ",,2018-10-05,SEC Registered,Bond - Corporate Bond,,,Communication Services,,,,,NA,,6.41,7.79,2030-10-15,6.53," 2,499,989 ",A,4.9257,,,,PA,US,USD,DEV,Cable and Other Subscription Programming,Broadcasting (except Internet),,,,,NA,NA,,,,,,20030NCU3,US20030NCU37,202735687,bucket_51_max
Foundation Building Materials Inc 6%,20210331,Corporation,0.04,75.32,73.18,73.4,90.19,98.39,High Yield Bond Portfolio,297,15,78,Foundation Building Materials Inc,,,,," $375,288.72 ",,2021-02-10,Exempt Issue,Bond - Corporate Bond,,,Basic Materials,,,,,NA,,4.68,6.17,2029-03-01,4.79," 498,243 ",Below B,11.8523,,,,DE,US,USD,DEV,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers","Merchant Wholesalers, Durable Good",,,,,NA,NA,,,,,,350392AA4,US350392AA45,363146472,bucket_51_max
Western Midstream Operating  LP 5.3%,20200630,Limited Partnership,0.03,82.4,82.46,80.81,99.19,120.27,High Yield Bond Portfolio,222,22,79,Western Midstream Operating  LP,," $500,000,000 "," $500,000,000 ", $1 ," $280,377.97 ",,2018-03-02,SEC Registered,Bond - Corporate Bond,,,Utilities,,,,,NA,,12.41,25.17,2048-03-01,12.61," 340,264 ",BB,6.7814,,,,DE,US,USD,DEV,Natural Gas Distribution,Utilities,,,,,NA,NA,,,,,,958254AJ3,US958254AJ35,164842279,bucket_51_max
Outfront Media Capital LLC / Outfront Media Capital Corp 4.625%,20191231,Corporation,0.01,82.89,78.05,78.92,94.31,99.9,High Yield Bond Portfolio,330,31,79,Outfront Media Capital LLC / Outfront Media Capital Corp,," $950,000,000 "," $475,000,000 ", $2 ," $116,851.08 ",,2019-11-18,Exempt Issue,Bond - Corporate Bond,,,Financial Services,,,,,NA,,5.73,7.21,2030-03-15,5.86," 140,966 ",B,7.8,,,,DE,US,USD,DEV,Miscellaneous Intermediation,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",,,,,NA,NA,,,,,,69007TAC8,US69007TAC80,273307320,bucket_51_max
Virgin Media Vendor Financing Notes IV Designated Activity Company 5%,20200630,Corporation,0.03,87.56,81.07,82.89,96.19,100.4,High Yield Bond Portfolio,314,24,79,Virgin Media Vendor Financing Notes IV Designated Activity Company," $500,000,000 "," $1,000,000,000 "," $500,000,000 ", $2 ," $255,385.14 ",0.06,2020-06-24,Exempt Issue,Bond - Corporate Bond,Note,Senior,Financial Services,,,,,NA,5,4.42,5.54,2028-07-15,4.67," 291,655 ",B,7.8439,,,,,IE,USD,DEV,All Other Nondepository Credit Intermediation,Credit Intermediation and Related Activities,,,,,No,NA,,,,,,92770QAA5,US92770QAA58,318168932,bucket_51_max
Southwestern Energy Company 8.375%,20210630,Corporation,0.03,103.27,103.79,105.55,109.87,111.76,High Yield Bond Portfolio,271,13,79,Southwestern Energy Company,," $1,710,465,000 "," $570,155,000 ", $3 ," $253,504.43 ",,2020-08-27,SEC Registered,Bond - Corporate Bond,,,Energy,,,,,NA,,2.21,5.71,2028-09-15,4.50," 245,476 ",BB,7.6909,,,,AR,US,USD,DEV,Crude Petroleum Extraction,Oil and Gas Extraction,,,,,NA,NA,,,,,,845467AP4,US845467AP47,329008407,bucket_51_max
MPH Acquisition Holdings LLC 5.75%,20201231,Limited Partnership,0.01,66.72,75.3,83.07,90.48,94.65,High Yield Bond Portfolio,290,35,79,MPH Acquisition Holdings LLC," $1,300,000,000 "," $4,800,000,000 "," $1,200,000,000 ", $4 ," $136,216.88 ",0.02,2020-10-29,Exempt Issue,Bond - Corporate Bond,Note,Senior,Financial Services,,,,,NA,5.75,4.44,5.84,2028-11-01,4.50," 204,158 ",B,14.4298,,,,DE,US,USD,DEV,Miscellaneous Intermediation,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",,,,,No,NA,,,,,,553283AC6,US553283AC69,346858641,bucket_51_max
Holly Energy Partners L P / Holly Energy Finance Corporation 5%,20200331,Limited Partnership,0.02,91.22,88.3,85.82,95.06,100.58,High Yield Bond Portfolio,225,24,79,Holly Energy Partners L P / Holly Energy Finance Corporation,," $800,000,000 "," $400,000,000 ", $2 ," $152,981.65 ",,2020-02-04,Exempt Issue,Bond - Corporate Bond,,,Energy,,,,,NA,,4.08,5.09,2028-02-01,4.37," 167,701 ",BB,7.1271,,,,DE,US,USD,DEV,Petroleum Bulk Stations and Terminals,"Merchant Wholesalers, Nondurable Good",,,,,NA,NA,,,,,,435765AH5,US435765AH53,286954444,bucket_51_max
Alphabet Inc. 2.25%,20220630,Corporation,0.32,56.82,56.56,65.21,78.02,89.51,held_directly,361,133,80,Alphabet Inc.," $2,000,000,000 "," $12,853,693,000 "," $1,606,711,625 ", $8 ," $3,068,292.94 ",0.27,2020-08-05,SEC Registered,Bond - Corporate Bond,Note,Senior,Technology,,,,,NA,2.25,20.56,37.63,2060-08-15,20.53," 5,400,058 ",AA,4.7526,,,,CA,US,USD,DEV,Other Electronic Component Manufacturing,Computer and Electronic Product Manufacturing,,,,,No,NA,,,,,,02079KAG2,US02079KAG22,326999387,bucket_51_max
Aercap Ireland Capital DAC 3.4%,20211231,Limited Partnership,0.13,76.09,72.7,79.09,89.83,101.99,held_directly,360,113,80,Aercap Ireland Capital DAC,," $1,350,000,000 "," $675,000,000 ", $2 ," $1,255,451.55 ",,2021-10-29,SEC Registered,Bond - Corporate Bond,,,Financial Services,,,,,NA,,8.49,10.83,2033-10-29,8.56," 1,649,940 ",BBB,6.5518,,,,,IE,USD,DEV,Mortgage and Nonmortgage Loan Brokers,Credit Intermediation and Related Activities,,,,,NA,NA,,,,,,00774MAY1,US00774MAY12,414964877,bucket_51_max
Comcast Corporation 2.65%,20191231,Corporation,0.48,86.74,83.94,89.57,96.12,103.81,held_directly,323,107,80,Comcast Corporation,," $9,674,934,000 "," $1,209,366,750 ", $8 ," $4,532,150.78 ",,2019-11-05,SEC Registered,Bond - Corporate Bond,,,Communication Services,,,,,NA,,6.18,7.09,2030-02-01,6.30," 5,225,018 ",A,4.9278,,,,PA,US,USD,DEV,Cable and Other Subscription Programming,Broadcasting (except Internet),,,,,NA,NA,,,,,,20030NDA6,US20030NDA63,271574541,bucket_51_max
Cornerstone Building Brands Inc 6.125%,20200930,Corporation,0.01,70.59,55.99,64.36,92.98,107.39,High Yield Bond Portfolio,284,31,80,Cornerstone Building Brands Inc," $500,000,000 "," $3,710,000,000 "," $618,333,333 ", $6 ," $89,210.45 ",0.03,2020-09-24,Exempt Issue,Bond - Corporate Bond,Note,Senior,Industrials,,,,,NA,6.125,4.45,6.04,2029-01-15,4.62," 126,384 ",Below B,13.423,,,,DE,US,USD,DEV,Offices of Other Holding Companies,Management of Companies and Enterprises,,,,,No,NA,,,,,,21925DAA7,US21925DAA72,332178265,bucket_51_max
"NRG Energy, Inc. 6.625%",20180630,Corporation,0.01,99.32,98.17,98.11,103.18,104.08,High Yield Bond Portfolio,323,17,80,"NRG Energy, Inc.",," $8,607,759,000 "," $782,523,545 ", $11 ," $104,376.16 ",,2017-04-18,SEC Registered,Bond - Corporate Bond,,,Utilities,,,,,NA,,2.03,4.04,2027-01-15,3.49," 105,093 ",BB,6.8667,,,,DE,US,USD,DEV,Other Electric Power Generation,Utilities,,,,,NA,NA,,,,,,629377CC4,US629377CC47,102315083,bucket_51_max
Aercap Ireland Capital DAC 1.75%,20210331,Limited Partnership,0.19,88.09,85.62,87.52,91.87,98.19,held_directly,353,94,80,Aercap Ireland Capital DAC,," $1,350,000,000 "," $675,000,000 ", $2 ," $1,774,906.34 ",,2021-01-13,SEC Registered,Bond - Corporate Bond,,,Financial Services,,,,,NA,,2.89,3.08,2026-01-30,2.92," 2,014,989 ",BBB,6.0843,,,,,IE,USD,DEV,Mortgage and Nonmortgage Loan Brokers,Credit Intermediation and Related Activities,,,,,NA,NA,,,,,,00774MAS4,US00774MAS44,358501739,bucket_51_max
Hewlett Packard Enterprise Company 4.9%,20180630,Corporation,0.11,99.13,99.22,101.66,104.79,111.02,held_directly,252,135,80,Hewlett Packard Enterprise Company,," $1,000,000,000 "," $1,000,000,000 ", $1 ," $1,021,029.96 ",,2016-12-30,SEC Registered,Bond - Corporate Bond,,,Technology,,,,,NA,,2.47,2.79,2025-10-15,2.58," 1,030,033 ",BBB,5.2792,,,,DE,US,USD,DEV,Software Publishers,Publishing Industries (except Internet),,,,,NA,NA,,,,,,42824CAW9,US42824CAW91,77736714,bucket_51_max
Navient Corporation 6.75%,20180630,Corporation,0.00,96.17,93.76,90.4,102.87,110.1,High Yield Bond Portfolio,329,31,80,Navient Corporation," $500,000,000 "," $4,870,328,000 "," $324,688,533 ", $15 ," $23,372.66 ",0,2017-05-26,SEC Registered,Bond - Corporate Bond,Note,Senior,Financial Services,,,,,NA,6.75,2.22,2.48,2025-06-25,2.23," 24,305 ",BB,8.574,,,,DE,US,USD,DEV,Securities Brokerage,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",,,,,No,NA,,,,,,63938CAH1,US63938CAH16,131228413,bucket_51_max
Veritas US Inc / Veritas Bermuda Ltd 7.5%,20200930,Corporation,0.01,69.09,76.73,75.24,94.99,103.89,High Yield Bond Portfolio,300,38,80,Veritas US Inc / Veritas Bermuda Ltd,," $4,364,259,454 "," $545,532,432 ", $8 ," $55,411.15 ",,2020-08-20,Exempt Issue,Bond - Corporate Bond,,,Basic Materials,,,,,NA,,2.09,2.67,2025-09-01,2.17," 80,205 ",B,23.9134,,,,DE,US,USD,DEV,Adhesive Manufacturing,Chemical Manufacturing,,,,,NA,NA,,,,,,92346LAE3,US92346LAE39,328442068,bucket_51_max
"Becton, Dickinson and Company 3.734%",20180630,Corporation,0.15,97.59,96.67,99.63,101.71,106.41,held_directly,309,113,80,"Becton, Dickinson and Company"," $1,750,000,000 "," $15,823,551,259 "," $719,252,330 ", $22 ," $1,419,962.91 ",0.08,2014-12-15,SEC Registered,Bond - Corporate Bond,Note,Senior,Healthcare,,,,,NA,3.734,1.79,1.96,2024-12-15,1.86," 1,455,030 ",BBB,5.0824,,,,NJ,US,USD,DEV,Surgical and Medical Instrument Manufacturing,Miscellaneous Manufacturing,,,,,No,NA,,,,,,075887BF5,US075887BF51,57802090,bucket_51_max
"Constellation Brands, Inc. 3.15%",20190930,Corporation,0.19,87.85,86.04,90.1,96.69,105.62,held_directly,321,100,81,"Constellation Brands, Inc.",," $500,000,000 "," $500,000,000 ", $1 ," $1,756,932.13 ",,2019-07-29,SEC Registered,Bond - Corporate Bond,,,Consumer Defensive,,,,,NA,,5.68,6.59,2029-08-01,5.79," 1,999,979 ",BBB,5.4058,,,,DE,US,USD,DEV,Wineries,Beverage and Tobacco Product Manufacturing,,,,,NA,NA,,,,,,21036PBE7,US21036PBE79,252738258,bucket_51_max
